,번호,주택구분,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,기준일자
713,714,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
714,715,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
715,716,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
716,717,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
717,718,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
718,719,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
719,720,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
720,721,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
721,722,아파트,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
722,723,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
723,724,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
724,725,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
725,726,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
726,727,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
727,728,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
728,729,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
729,730,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동,2021-10-01
730,731,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
731,732,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
732,733,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
733,734,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
734,735,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
735,736,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
736,737,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
737,738,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
738,739,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
739,740,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
740,741,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
741,742,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
742,743,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
743,744,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
744,745,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
745,746,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
746,747,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
747,748,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
748,749,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
749,750,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
750,751,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
751,752,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
752,753,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
753,754,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
754,755,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
755,756,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
756,757,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
757,758,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
758,759,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
759,760,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
760,761,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
761,762,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
762,763,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
763,764,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
764,765,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
765,766,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
766,767,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
767,768,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
768,769,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
769,770,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
770,771,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
771,772,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
772,773,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
773,774,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
774,775,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
775,776,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
776,777,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
777,778,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,2021-10-01
